Date,SC_Delay,weather_code_SC,Temperature_SC,Wind_Speed_SC,Distance_travelled_SC,WL_Delay,weather_code_WL,Temperature_WL,Wind_Speed_WL,Distance_travelled_WL,KMT_Delay,weather_code_KMT,Temperature_KMT,Wind_Speed_KMT,Distance_travelled_KMT,BZA_Delay,weather_code_BZA,Temperature_BZA,Wind_Speed_BZA,Distance_travelled_BZA,EE_Delay,weather_code_EE,Temperature_EE,Wind_Speed_EE,Distance_travelled_EE,RJY_Delay,weather_code_RJY,Temperature_RJY,Wind_Speed_RJY,Distance_travelled_RJY,SLO_Delay,weather_code_SLO,Temperature_SLO,Wind_Speed_SLO,Distance_travelled_SLO,TUNI_Delay,weather_code_TUNI,Temperature_TUNI,Wind_Speed_TUNI,Distance_travelled_TUNI,AKP_Delay,weather_code_AKP,Temperature_AKP,Wind_Speed_AKP,Distance_travelled_AKP,DVD_Delay,weather_code_DVD,Temperature_DVD,Wind_Speed_DVD,Distance_travelled_DVD,VSKP_Delay,weather_code_VSKP,Temperature_VSKP,Wind_Speed_VSKP,Distance_travelled_VSKP
19/12/23,0.0,3.0,21.160667,12.904882,,29.0,3.0,21.323668,10.587917,,49.0,3.0,23.300333,9.449572,,0.0,3.0,23.77925,11.27553,,14.0,3.0,23.89225,11.503113,,11.0,3.0,23.56842,14.458382,,16.0,3.0,22.791418,13.339445,,10.0,3.0,22.689835,12.496719,,5.0,3.0,22.395416,12.959999,,0.0,3.0,22.246332,14.440443,,-4.0,2.0,22.820501,15.273505,
20/12/23,14.0,3.0,20.446081,11.269782,,60.0,3.0,20.62575,9.6932955,,83.0,3.0,22.719086,7.24486,,44.0,3.0,23.758417,10.685391,,57.0,3.0,23.652666,11.592894,,58.0,3.0,23.13925,14.689589,,61.0,3.0,22.037252,13.450708,,57.0,3.0,21.769,13.32,,54.0,3.0,21.372498,14.618837,,46.0,3.0,21.213,14.57889,,30.0,3.0,22.09967,14.707222,
21/12/23,26.0,3.0,20.579416,10.446206,,57.0,3.0,21.07575,10.661107,,78.0,3.0,22.337835,7.10031,,20.0,1.0,23.150084,10.195057,,37.0,2.0,22.873499,12.181625,,38.0,1.0,22.7455,12.849528,,39.0,0.0,21.44142,10.948973,,77.0,0.0,20.854416,12.387348,,74.0,3.0,20.951666,11.4862,,71.0,3.0,20.808832,11.503113,,61.0,2.0,21.766336,11.525623,
22/12/23,15.0,3.0,21.408585,9.565437,,60.0,3.0,21.88825,9.83268,,95.0,3.0,22.856585,8.4963045,,41.0,3.0,23.158417,6.9527545,,54.0,3.0,23.45475,10.703569,,66.0,3.0,23.276749,12.144331,,70.0,3.0,22.1435,10.239453,,68.0,3.0,21.541916,10.883676,,49.0,3.0,21.71625,11.792404,,56.0,3.0,21.438002,11.212135,,50.0,3.0,22.203833,11.503113,
23/12/23,14.0,3.0,21.53775,13.708391,,78.0,3.0,21.767418,8.39657,,104.0,3.0,23.317001,8.473393,,60.0,3.0,23.914667,11.592894,,82.0,3.0,23.696413,11.165805,,75.0,3.0,23.616335,13.698934,,85.0,3.0,22.568497,13.397612,,87.0,3.0,22.277334,15.778518,,82.0,3.0,22.247498,14.408997,,72.0,3.0,21.965082,13.797912,,60.0,3.0,22.6205,13.849476,
24/12/23,1.0,3.0,21.304417,10.829958,,25.0,3.0,22.796585,9.885262,,37.0,3.0,23.575335,7.968939,,4.0,3.0,24.089666,11.753876,,26.0,3.0,23.977667,12.10157,,48.0,3.0,23.778831,15.042659,,54.0,3.0,22.849752,13.207634,,59.0,3.0,22.694,13.905509,,54.0,3.0,22.599585,12.096214,,43.0,3.0,22.377586,12.181624,,25.0,3.0,22.949667,13.698934,
25/12/23,0.0,3.0,21.546083,9.227524,,45.0,3.0,22.825752,9.3876505,,68.0,3.0,23.662836,8.0899935,,50.0,1.0,24.160498,12.181625,,57.0,2.0,24.267248,14.003029,,53.0,1.0,24.160086,13.979871,,64.0,1.0,23.239334,11.525623,,45.0,1.0,22.900253,13.779114,,39.0,0.0,22.999586,12.224107,,27.0,1.0,22.779669,12.979984,,20.0,1.0,23.289251,14.4,
26/12/23,0.0,0.0,22.046083,9.726665,,45.0,2.0,23.094498,10.823973,,68.0,3.0,23.506584,10.514218,,25.0,0.0,24.431334,13.237038,,40.0,0.0,24.563082,15.2947035,,38.0,1.0,24.441336,14.372974,,38.0,1.0,23.660162,11.165805,,32.0,1.0,23.25442,12.261157,,11.0,1.0,23.418333,12.594856,,5.0,1.0,23.169252,12.758432,,-8.0,1.0,23.61425,12.313893,
27/12/23,1.0,3.0,21.875252,10.594036,,56.0,3.0,22.5195,12.245294,,69.0,3.0,23.775335,11.592894,,20.0,2.0,24.445915,13.513193,,34.0,3.0,24.410997,13.627795,,41.0,1.0,24.312166,13.627795,,41.0,0.0,23.399748,12.313893,,40.0,0.0,23.233582,15.175612,,38.0,1.0,23.143333,13.32,,32.0,1.0,22.977585,13.138765,,15.0,0.0,23.476751,13.138765,
28/12/23,29.0,3.0,21.244001,12.57426,,59.0,3.0,22.634085,12.620554,,67.0,3.0,23.504503,9.931042,,10.0,3.0,24.322998,15.7908325,,25.0,3.0,24.467249,13.556282,,22.0,3.0,23.924667,17.298738,,22.0,3.0,23.143501,14.113653,,19.0,3.0,23.027334,16.394829,,36.0,3.0,23.218332,14.345898,,43.0,3.0,22.946335,15.978486,,28.0,3.0,23.424667,14.561099,
